,text,label
59,"	From 1980 to 1990, the top 1 percent saw their income go up by roughly 80 percent while the median wage in the country over (the same) 10 years went up 3 percent.",1
60,"	Despite claims that you can keep the health care plan you like, the Obama Administration has predicted that as many as 7 out of 10 Americans with employer-provided health coverage could lose their current health plan.",0
61,"	In the past 20 years, Egypt has made great strides in political and democratic reform.",0
62,	Veterans can now download their electronic medical records with a click of the mouse.,0
63,	Says government is a barrier to innovation and development.,0
64,	Says President Barack Obama revealed in his State of the Union address that he now is against earmarks.,1
65,	Were borrowing 40 cents of every dollar we spend.,1
66,"	The American people say, dont touch Social Security, dont touch Medicare, dont cut defense. Thats 84 percent of the federal budget.",1
67,	The health care law is accelerating our country toward bankruptcy.,0
69,	The federal government now tells us which light bulbs to buy.,0
70,"	The Interior Department is in charge of salmon while theyre in fresh water, but the Commerce Department handles them when theyre in saltwater.",1
72,	The White House promised us that all the spending would keep unemployment under 8 percent.,0
73,	The debt will soon eclipse our entire economy.,1
74,	The United States has one of the highest corporate tax rates in the world.,1
76,	As many as a quarter of our students arent even finishing high school.,1
77,	Two years after the worst recession most of us have ever known ... corporate profits are up.	,1
78,Poll results from the past 35 years show that State of the Union speeches do not move presidential approval numbers.,1
79,	The health care law includes tort reform.,0
80,The financial regulatory bill will kill jobs.,0
81,	The health care law is job killing.,0
82,"	Between 2000 and 2006, health insurance company profits quadrupled.	",1
83,"	Between the year 2000 and 2006, (insurance) premiums in this country doubled.",1
84,	The refusal of many federal employees to fly coach costs taxpayers $146 million annually.,1
85,The White House branded the memorial service for the Tucson shootings with a Together We Thrive logo and slogan.,0
86,"	When we look at the number of murders in the United States (in) 2009, we had 9,500 people murdered. When we look around the world, we see ... large countries, the U.K., Germany, Japan had 200 or less killed in a year.",1
87,	Says she condemned violence at a campaign stop in Arizona in March.,1
88,	Members of Congress and their families and staff are exempt from repaying student loans.,0
90,"	In preparing a rules package for the 112th Congress, the GOP had no discussions with Democrats.",0
91,	The Democratic majority led the 111th Congress to spend more money in two years than the first 100 congresses before them combined.,0
92,	We can save $125 billion in simply not giving out money to Medicare recipients that dont exist for procedures that didnt happen.,0
93,We have the highest (corporate tax rates) in the world right now.,1
95,"	Since January 2008 the private sector has lost nearly 8 million jobs while local, state and federal governments added 590,000.",0
96,"	When Social Security was passed, there were all kinds of lawsuits, just as there have been in the legal battle over the new health care law.",1
97,	One in 19 Americans today get SSDI or SSI. Thats one in 19 Americans (who) are disabled.,1
98,"	Under the compromise tax agreement, 99.7% of American families will not pay 1 nickel in an estate tax.",1
99,"	The Obama-GOP compromise raises taxes, it raises the death tax.",0
1,"	Last year, ExxonMobil made $19 billion in profit. Guess what. They paid zero in taxes. They got a $156 million refund from the IRS.",0
2,"	In 2007, the top 1 percent of all income earners in the United States made 23.5 percent of all income, which is more than the entire bottom 50 percent.",1
3,	There are 10 or 20 deaths a year from foodborne illness in the United States.,0
4,"	When President Franklin D. Roosevelt started Social Security, it only affected widows and orphans, and when Medicare began, it was a small program.",0
5,	There are polls showing right now that the American people for the most part think its a bad idea to provide tax cuts to the wealthy.,1
8,	The DREAM Act the would give amnesty to over two million illegal aliens.,0
11,	The American people spoke pretty loudly. They said stop all the looming tax hikes....,0
12,"	Pls refer to Jan.1 tax changes appropriately: theyre OBAMA TAX HIKES  theyll slam every Americans savings, investments  job opportunity",0
13,	New food safety legislation will regulate backyard gardening.,0
14,"	Historically, Senate ratification of arms control treaties has been bipartisan.",1
15,	Obamas position on nuclear arms is a march toward global zero.,1
17,	Eliminating earmarks does not reduce spending.,1
18,"	The radiation coming from the new TSA body scanners is equivalent to about three minutes worth of air travel by anybody, say, at 30,000 feet.",1
19,"	Small businesses that have $250,000 in gross sales for the business. Theyre the ones that are looking at massive tax increases.",0
21,A recent report from the presidents deficit commission was completely empty on controlling health care costs.,0
22,	Federal spending is the highest its been as a share of our economy in 60 years (and) revenue is the lowest its been as a share of our economy in 60 years.,1
23,	We now consume at the federal level 25 percent of the gross domestic product. Historically we were at 20 percent. So weve taken 5 percent away from the private sector.,1
24,	My debt to GDP was the lowest or one of the lowest of modern presidents. My taxes to GDP was the lowest and my spending to GDP was too.,1
25,"	The average federal employee makes $120,000 a year. The average private employee makes $60,000 a year.",0
26,	Grocery prices have risen significantly over the past year or so.,0
28,Anybody who is familiar with the historical data from the IRS knows that raising income tax rates will likely actually reduce federal revenues.,0
29,	The interest on the debt now is going to approach in the next couple of years ... what we spend in the national defense budget.,1
30,	When Obama took office the economy of the United States was actually shrinking for the first time in about 70 years.,0
31,	The president of the United States will be taking a trip over to India that is expected to cost the taxpayers $200 million a day.,0
32,	Congresswoman Kathy Castor voted to spend $2.6 million to teach prostitutes in China to drink responsibly.,0
34,	Members of Congress did not have three days to read the bill when the stimulus was rushed into law.,1
36,	North Dakotas economy is reeling.,0
37,"	Sen. Harry Reid voted against declaring English our national language, twice.",1
38,	Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries.,0
39,"	We have empowered state insurance commissioners to review the rate hikes that are taking place in states. And in some states like North Carolina, they have already used it and rolled back premium increases by 25 percent.",1
42,	Most of the jobs that we lost were lost before the economic policies we put in place had any effect.,1
44,"	As CEO of WWE, Linda McMahon was caught tipping off a ringside physician about a federal investigation into illegally distributing steroids to wrestlers.",1
45,"Dan Seals has been running for office since before there were, like, iPods.",0
46,	Ed Perlmutter voted for Viagra for rapists paid for with tax dollars.,0
47,	Michael Bennet cast the deciding vote for the stimulus and the health care bill.,0
48,"	When President, then candidate, Obama was asked to disclose some of his donors because there was suspicion of their being the foreign source of money into his campaign, they refused to do it.",0
50,	The new health care law will force seniors into Barack Obamas government-run health care program.,0
51,Fiorinas plan would mean slashing Social Security and Medicare.,0
54,"Carly Fiorina, shes against banning assault weapons.",1
56,	The Seattle Times called Patty Murray a prolific sponsor of earmarks. Patty even defended the Bridge to Nowhere. ,1
58,"	Under the new health care law, the first person (a) patient has to go to is a bureaucrat. That is called a panel.",0
59,Mark Kirk: Lied about going to war. Opposed middle class tax cuts. And said unemployments not that big an issue.,0
60,"	Rand Paul wants to end all federal faith-based initiatives, and even end the deduction for religious charities.",1
61,"	Ken Buck wants to outlaw abortion, even in cases of rape or incest.",1
62,	The new health care law crushes small businesses with billions in penalties.,0
63,	We havent yet taken out a negative ad.,0
65,	Sharron Angle voted to protect sex offenders.,1
66,	Chris Coons has Marxist beliefs.,0
67,	New Castle Countys unemployment rate has not almost doubled in the last two years.,1
68,	John Raeses wife is registered to vote in Florida so she cant even vote for him.,1
69,"	One man (New Castle, Del., County Executive, Chris Coons) thought property taxes should be hiked almost 50 percent.",1
70,	Delaware Democratic Senate candidate Chris Coons thought that a 911 call should be taxed.,0
74,	Harry Reid voted to use taxpayer dollars to pay for Viagra for convicted child molesters and sex offenders.,0
75,"	Rand Paul wants us to pay $2,000 just to get Medicare.",1
76,	Sen. Barbara Boxer voted against immigration reform to permit (Hispanic immigrants) people to come here legally to work.,0
78,"	Arkansas Democratic congressional candidate Chad Causey was a Washington, D.C. bureaucrat.",0
79,"	In most Muslim countries, We cant have a church. Were not able to build synagogues. Its forbidden.",0
80,"	Says Roy Blunt secretly inserts language to benefit tobacco giant Philip Morris into a national security bill while Blunts girlfriend and son are lobbyists for the cigarette company, and just days earlier, 26 Philip Morris executives wrote checks to Blunt totaling $23,000.",1
81,"	Barbara Boxer voted to cut spending on Medicare benefits by $500 billion, cuts so costly to hospitals and nursing homes that they could stop taking Medicare altogether.",0
82,"	The Chilean privatization scheme that Sharron Angle supports has resulted in hidden fees, fewer benefits, and millions of people with no coverage.",0
85,"	Rep. Paul Hodes, D-N.H., voted for the pork-filled stimulus bill -- $1.9 million to study ants in Africa, $39 million for office upgrades for politicians.",0
86,"	Says Joe Sestak voted to gut Medicare ... reducing benefits for 854,489 seniors and jeopardizing access to care for millions.",0
87,	Independent groups behind ads attacking Democratic candidates are front groups for foreign-controlled companies.,0
89,"	Says Rand Paul thinks drug-dealing, theft, burglary and prostitution should be decriminalized.",0
91,	Says John Boehner admits we are not going to be any different than weve been  by returning to the same failed economic policies that wrecked our economy.,0
92,"	Children born today will carry a $30,000 share of the national debt.",1
94,"	Its not true that since hes been the president, executions in Iran have increased by four times.",0
95,	Sakineh Mohammadi Ashtiani was never sentenced to stoning.,0
96,	The Bush administration had been giving (auto companies) billions of dollars and just asking nothing in return.,0
97,	Our tax rates are lower now than they were under Ronald Reagan. Theyre much lower than they were under Dwight Eisenhower.,1
98,	Theres a big chunk of the country that thinks that I have been too soft on Wall Street.,1
99,"	Speaker Pelosi ... has been busy sticking the taxpayer with her $100,000 bar tab for alcohol on the military jets that shes flying.",0
0,	The new health care law will cut $500 billion from Medicare. That will hurt the quality of our care.,0
1,Do you know that we have pipes carrying natural gas in this country that are made of wood? Im not joking.,0
2,"As the CEO of HP, Carly Fiorina laid off 30,000 workers.",1
3,	Harry Reid has voted to give special tax breaks to illegal aliens.,0
4,	Harry Reid has voted to give illegals Social Security benefits even for the time they were here illegally.,0
5,Taxes went down under Jerry Brown.,1
6,"	Taxpayers pay $18,000 a month for House Speaker Nancy Pelosis district office in downtown San Francisco.",1
7,"Over 10 years, (extending tax cuts for the wealthy) would add less to the deficit than Obama added with the stimulus in one year.",0
8,"	John Boehner has called for repealing the rest of the stimulus, which would raise taxes on 110 million middle class people.",0
9,"	Extending current tax rates would average more than $100,000 a year to millionaires and even billionaires.",1
10,	Says John Boehner changed his position on extending Bush tax cuts.,0
14,"	When these same Republicans - including Mr. Boehner - were in charge, the number of earmarks and pet projects went up, not down.",1
15,"	The Richardson-Denish administration gave 50,000 drivers licenses to illegal immigrants in New Mexico.",0
17,"	Our law enforcement agencies have found bodies in the desert, either buried or just lying out there, that have been beheaded.",0
18,	John Boehner said the jobs of teachers and nurses and police officers and firefighters are government jobs that werent worth saving.,0
19,"The presidents party always gets shellacked in midterms. Its only twice, 1934 and 2002, that the presidents party actually gained in both the House and the Senate.",1
20,"Likens Obamas predicament to 1982, saying, when Reagan just started out, (unemployment was at) exactly the same point. He was two years into his term. The unemployment was well over 10 percent, and it did come out of it.",1
21,I asked (then-Secretary of State Condoleezza Rice) how many people had died and she did not know the answer to that question.,0
23,	John Boozman supports privatizing Social Security,0
24,"	Dan Webster supports privatization of Social Security, deep cuts in Social Security.",0
26,	Sharron Angle would eliminate the Department of Education.,1
27,	Pat Toomey thinks corporations shouldnt pay any taxes.,1
29,"Forty-five percent of those whove been unemployed, theyve been unemployed for six months or longer.",1
31,"	The Obama Health and Human Services Department is planning to compile a federal health record on all U.S. citizens by 2014, including each individuals Body Mass Index.",0
32,The federal government is now on track for the second-largest budget deficit in 65 years.,1
33,The government is trying to now close the Lincoln Memorial for any kind of large gatherings.,0
34,	Republicans dont think its a good idea to make the child care tax credit stronger.,0
35,	President Obama is a Muslim.,0
36,	The seed of Muslim is passed through the father.,0
37,	There is already a mosque four blocks away.,1
38,"	Obamas stimulus, passed in his first month in office, will cost more than the entire Iraq War.",0
40,"	Joe Sestak ... even wants to bring back the death tax, letting the IRS take half of your savings when you die.",0
41,	This is not a mosque. Its a cultural center that has a prayer area.	,0
42,"	Under the new health care law, all real estate transactions will be subject to a 3.8% Sales Tax",0
43,	The Republicans have 2 percent of the Muslim vote.,1
44,	A New York imam wants tohave a mosque at Ground Zero.,0
45,	U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,1
47,	Some Republican leaders in Congress are pushing to make privatizing Social Security a key part of their legislative agenda if they win a majority in Congress this fall.,0
49,"	In 1935, more than 50% of the elderly population lived in poverty. Today that poverty rate stands officially at 9.4%.	",1
50,"	Unemployment for those with college educations is now 4.5 percent. Unemployment for those with more than a college education, below 4 percent.",1
52,Obamas approval numbers are in the low 40s.,1
55,	A bill to aid state and local governments is fully paid-for by closing costly corporate tax loopholes.,0
57,The overall fact about illegal immigration is that its not actually getting worse.,1
59,	McCain opposed the border fence.,0
60,"	Despite the U.S. spending $10 billion on Iraqs electrical system, Baghdad still only gets five hours of electricity a day.",0
61,	Theres still about $400 billion or $500 billion of the stimulus plan that has not been spent. Why dont we stop it.,0
62,"	About 106,000 soldiers had a prescription of three weeks or more for pain, depression or anxiety medication.",1
64,	Democrats do not have a plan for extending the Bush tax cuts.,0
65,	Canada sets aside 36 percent of their visas for people with skills they think their country needs. We set aside 6 percent.,0
67,	Democrats are poised now to cause this largest tax increase in U.S. history.,0
68,	Ninety-four percent of small businesses will face higher taxes under the Democrats plan.,0
69,"	Eight of the nine justices in the Supreme Court decision (on campaign finance) said that not only is it constitutional for Congress to require disclosure of the special interest money, but they recommend we do it.",1
70,	House Democrats have a two-to-one advantage money-wise against House Republicans.,1
71,	This is the first time since the Depression that unemployment has stayed above 9 percent for two consecutive years.,0
73,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",1
74,"	When Obama went to Pakistan in 1981, he could not have been traveling as a U.S. citizen.",0
75,	A transcript released by Occidental College proves that Barack Obama was an Indonesian citizen.,0
76,	Justice Antonin Scalia agreed for the Supreme Court to hear a case about whetherBarack Obama is eligible to be President.,0
78,	I dont think the argument can be credibly made that the United States of America is undertaxed compared to our competitors.,0
79,	The presidents budget would take ... non-defense spending to its lowest level ... as a percentage of the economy since JFK.,1
80,"Over the last 10 years, incomes for the top 1 percent have grown. Meanwhile, the bottom half of the country, theyve seen their wages stagnate.",1
81,25 percent of our economy is the financial sector.,0
82,	The Latino unemployment rate is higher than the white rate and the black rate is higher than the Latino rate.,1
83,"	People in the top tax bracket, these so-called wealthy, most of them are small-business owners.",0
85,	Weve seen six months of positive job growth by the private sector.,1
86,	Shirley Sherrod was forced to resign before anybody on Fox said a word about this.,1
89,	Ken Bucks (District Attorneys) office? His spending skyrocketed by 40 percent.,1
91,Attorney General Eric Holder is involved in the dismissal of the criminal charges against the New Black Panther Party for voter intimidation,0
92,"	Of all the illegals in America, more than half come through Arizona.",0
93,	Recent data showed Nevada ranks 50th in the money received from the stimulus bill.,0
95,	Obamas dog has his own plane,0
96,"Should Democrats get their way, every income tax bracket will increase on Jan. 1, 2011. Every single one.",0
97,	Sixty percent of the Hispanics support the Arizona immigration law,0
98,	I never called for a partition of Iraq.,1
99,	The health care numbers are going up.,0
1,	Russ Feingold voted against the law that protected our lakes and was the only Great Lakes senator to vote no.,0
2,"	As a Congressman, J.D. Hayworth was an avid earmarker who supported such pork as $220,000 to renovate a Maine Blueberry farm and $5.8 million for a Vermont snowmobile trail.",1
3,	The Obama administration will give Pennsylvania $160 million to pay for health insurance plans that cover any legal abortion.,0
5,"	We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year.",1
6,	Were spending $1 trillion a year on our foreign policy.,1
8,"	Under President George W. Bush, the U.S. had 52 months of ... uninterrupted job creation and revenues were at an all-time high in 2007.",1
9,	Republicans extended unemployment insurance under President Bush when he asked to extend unemployment insurance.,1
11,"Says that President Obama said if Congress passed the economic stimulus bill, we would have unemployment at 8 percent and no higher. And it went higher.",0
12,Forty percent of the undocumented workers in this country entered the U.S. legally and overstayed their visa.,1
13,	The top 1 percent pay over half of the entire revenue for this country.,0
14,"The U.S. ""only ranks 25th worldwide on defense spending as a percentage of GDP.""",0
15,"""We spend three times more on entitlements and debt services than we do on defense.""",1
16,Subsidies for oil and gas companies make up 88 percent of all federal subsidies. Just cutting the oil and gas subsidies out would save the U.S. government $45 billion every year.,0
18,"""He (Kirk) did violate Pentagon rules, twice actually, for improperly mingling politics with his military service.""",1
19,Alexi Giannoulias top aide was a longtime BP lobbyist.,0
21,"""Crime is down in Arizona.""",1
22,"As a senator, Barack Obama supported ""an amendment that basically gutted the legal temporary worker program.""",1
24,Japans interest on its own debt is 25 percent of its national budget,0
25,"""President Barack Obama has deported more people in his first year in office than George W. Bush in his last year in office.""",1
27,"""Today, we have more boots on the ground near the Southwest border than at any time in our history.""",1
30,The majority of the people that are coming to Arizona and trespassing are now becoming drug mules.,0
35,"Canada ""does spills into their water to practice in the event that this would happen. That is not allowed in the United States.""",1
39,"The national debt ""has gone up by $1,729,000,000 during the Isner v. Mahut match.""",1
40,"With his decision on whether to fire Gen. Stanley McChrystal, President Obama has to fix yet another problem he inherited from the Bush administration.",0
42,"Under President George W. Bush, ""the national debt went from $5 trillion to $12 trillion.""",0
43,"""We only have 2 percent of the oil reserves in the world, and we consume 25 percent of the world's oil on a daily basis.""",1
44,"In the case of General Motors, the (Bush) administration wrote a check without asking for any conditions of change.",0
45,"""Obama put a 10 percent tax on tanning.""",1
46,"""We get 30 percent of our oil from the Gulf (of Mexico).""",0
47,"""Without representation, (the IRS) can increase taxes.""",0
48,"""Oil companies showered regulators (at the Minerals Management Service) with gifts and favors, and were essentially allowed to conduct their own safety inspections and write their own regulations.""",1
49,"""Ninety-four percent of the bills that pass the Senate have no debate, no vote, no amendments, no reading of the bill, no online disclosure.""",0
52,"""While Exxon Mobil has 40 pages on its media response strategy, its plan for resource protection is only five pages long and its plan for oil removal is just nine pages long.""",1
53,"John McCain ""voted against the tax cuts of 2001 and 2003, wrongly claiming they helped only the rich.""",1
54,"After J.D. Hayworth ""was voted out of Congress, he became a registered lobbyist"" who was ""paid thousands by a Florida corporation to lobby the very committee he used to serve on.""",1
55,"The Obama administration ""has been constrained by the Oil Pollution Act of 1990, which basically gives the responsible party the lead role in trying to not only fix the problem, but contain the problem.""",0
58,"""The House has never failed to pass a budget in the modern era.""",1
59,A major part of the climate change bill sponsored by Sens. John Kerry and Joe Lieberman was essentially written by BP.,0
62,Californias credit rating is the worst in the country.,1
63,"Starting in 2011, ""you will be required to pay taxes"" on ""the value of whatever health insurance you are given by the company.""",0
64,"""In 20 years there will be enough Muslim voters in the U.S. to elect the president by themselves.""",0
65,"Presidents Hoover, Truman and Eisenhower collectively ordered the deportation of at least 15 million illegal aliens.",0
66,"Once the U.S. government signs a U.N. treaty on conventional arms, ""all U.S. citizens will be subject to those gun laws created by foreign governments.""",0
68,Barack Obama appeared in the video for 'Whoomp! (There it is!)',0
69,Every major study that has been done by a legitimate group ...shows that there are hundreds of thousands of jobs to be created if you pass our (cap-and-trade) legislation. And if you wind up pricing carbon.,0
70,"""We now actually import more oil than we did before 9/11.""",1
71,Turkey is an Arab country.,0
72,Barbara Boxers worried about the weather instead of terrorism as the biggest threat to national security.,0
75,Sixty-four percent of Americans support the Arizona immigration law.,1
77,"""The Interior Department has only 30 days to review an exploration plan submitted by an oil company. That leaves no time for the appropriate environmental review. The result is, they are continually waived.""",1
79,"The federal government only ordered BP to pay ""to do one of those six segments"" of sand barriers for Louisiana.",1
80,"""The president has added close to 68,000 troops in the last year, since he came into office, not just the 30,000 you hear, but the others that were added before that.""",1
81,Sen. Barbara Boxer passed only three bills in 18 years into law.,0
82,	Says he was a Marine during Vietnam.,0
84,"The Republican Party ""fought very hard in the '60s to get the civil rights bill passed, as well as the voting rights bill.""",1
85,Halliburton gave Dick Cheney a $34 million payout when he left the company to join the presidential ticket.,1
87,"In Hawaii, ""they don't have a history of throwing incumbents out of office.""",1
88,"""Sue Lowden gave Harry Reid's campaigns a thousand dollars in five different elections, helping his Senate dreams come true.""",1
89,"Steve Poizner ""increased his department's budget nearly 14 percent.""",0
90,"California Republican gubernatorial hopeful Meg Whitman ""contributed to, and campaigned, for"" Democratic Sen. Barbara Boxer.",1
91,"""Taxpayer-funded benefits to illegals"" in California are ""a skyrocketing cost under Obamacare.""",0
92,"""Minnick voted to let the government fund abortion under Obamacare.""",0
93,"California gubernatorial candidate Steve Poizner, a Republican, ""gave $10,000 to Al Gore's recount"" effort in 2000.",1
96,"Elena Kagan ""violated the law of the United States at various points"" with her opposition to military recruiters.",0
97,"Elena Kagan is a New York City radical, Marxist lawyer through and through.",0
99,Louisiana Sen. Mary Landrieu received almost $1.8 million from BP over the last decade.,0
0,"""In the last 10 years we've only had 7,000 barrels of oil spilled in the Gulf ... not counting hurricanes. This well is spewing that amount every day and a half.""",1
1,"Louisiana gets ""not one single penny"" from Gulf Coast offshore oil revenues.",0
2,"Sen. Robert Bennett, R-Utah, cast votes for TARP, the stimulus, and an individual mandate for health care.",0
3,"On Sandra Day O'Connor: ""I think one reason she was a good judge is she had no judicial experience"" before she joined the Supreme Court.",0
4,Greece has a GDP the size of the Dallas-Fort Worth Metroplex.,1
5,"The president can ""authorize the killing of a U.S. citizen who fights for a foreign terrorist organization.""",1
7,"On military recruiters at Harvard, Elena Kagan ""took a position and the  Supreme Court ruled unanimously that she was wrong.""",1
9,"""We can prevent terror suspects from boarding an airplane, but the FBI doesn't have the power to block them from buying dynamite or an AK-47.""",1
10,"Royalties foroil and other energy sources are the ""second-largest revenue source to the federal government after the IRS.""",0
11,"""Up until two weeks ago, John McCain was a leading proponent of amnesty. Now with me challenging him, suddenly he has changed.""",0
12,This administration and this Congress have been systematically cutting funding to border security since the Democrats took control.,0
13,"Under the Arizona immigration law, police are required to check immigration status if someone's ""lawn is overgrown"" or if a dog is ""barking too loudly.""",1
14,"Late changes to the Arizona immigration law ""lay to rest questions over the possibility of racial profiling.""",0
15,"At the moment, energy companies spend 0.25 percent on RD.",1
16,"Numbers on illegal immigrants ""are down in terms of apprehensions, which indicates fewer illegal crossings, but also up in terms of actual enforcement actions.""",1
17,"A letter from BP to the Minerals Management Service ""actually recommends  improvements and specific recommendations around safety regulations  should they choose to change them.""",0
18,Brazil got off oil in the last 30 years.,0
19,Alaskas Prince William Sound is pristine now.,0
21,Says a Bureau of Labor Statistics report attributed a sharp increase in work-related fatalities to increasing numbers of employees and drivers could not read or understand warning signs in English.,0
22,"""Congress can tell [the Supreme Court] which cases they ought to hear. We have that authority.""",1
23,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",1
24,"Under the new Arizona immigration law, police can't stop someone to check their immigration status unless they think they see something illegal.",0
25,What the Arizona law does is make a state crime out of something that already is... a federal crime.,1
27,"""Fifteen years ago, the assets of the six largest banks in this country totaled 17 percent of GDP ... The assets of the six largest banks in the United States today total 63 percent of GDP.""",1
28,We researched to find out if anybody on Fox News had ever said youre going to jail if you dont buy health insurance. Nobodys ever said it.,0
29,"The financial services bill will end ""too-big-to-fail.""",0
30,"The Banking Committee voted a 1,336-page bill ""out of committee in 21 minutes with no amendments, with the understanding that before the bill came to the floor, we would reach this bipartisan agreement.""",1
31,"""Obama did not open new lands to offshore drilling  all of these areas were already open for drilling once Congress and President Bush lifted the moratorium in 2008. Instead, President Obama yesterday announced what areas he would CLOSE to offshore drilling.""",0
32,"""No member of the American public has ever been killed by commercial nuclear power  a record unmatched by other fuels.""",1
33,"""The vast majority of the money I got was from small donors all across the country.''",0
34,"In 2004, ""20 percent of U.S. households were getting about 75 percent of their income from the federal government. ... Another 20 percent were receiving almost 40 percent.""",0
35,"The financial services regulatory bill ""will end taxpayer bailouts.""",0
36,"New financial regulation ""actually guarantees future bailouts of Wall Street banks.""",0
37,"""Dubai is the only country with huge amounts of imported workers that's actually passed legislation to give these immigrant workers a better deal in the Middle East.""",0
39,"""I never had a filibuster-proof Senate.""",1
40,"""The bill reported out of committee sets up a $50 billion slush fund that, while intended for resolving failing firms, is available for virtually any purpose that the treasury secretary sees fit.""",0
42,"""Americans now spend 100 days out of the year working for government before we even start working for ourselves.""",1
43,"When the United States ""first created the federal income tax, frankly, nobody below a million dollars a year paid anything.""",0
44,"""A filibuster has never really been successfully used against a Supreme Court justice.""",0
46,John Paul Stevens is the only Protestant on the U.S. Supreme Court.,1
48,"""No one questioned that she (Judge Sotomayor) was out of the mainstream.""",0
49,"""The video doesn't show the broader picture of the firing that was going on at American troops.""",1
50,Says he did not say Republicans would filibuster immigration reform.,0
52,"""President Obama himself attempted to filibuster Justice Alito, who  now sits on the Supreme Court.""",1
53,"Obama said troops ""whine about bearing the costs"" of going to war.",0
54,"""Early census returns are showing that conservatives have been measurably less likely than liberals to return their census forms.""",0
55,"""The most private question on this years form asks for an individuals race, and that question has been asked by every census since the 1790 census conducted under then-President George Washington.""",1
56,"""This census is also the shortest and least intrusive count in modern history.""",1
57,"On financial reform, there is ""a million dollars being spent, per congressman, in lobbying expenses on this issue. (The) industry has four lobbyists per member of the House and Senate working on this.""",1
58,"""I never considered myself a maverick.""",0
61,"""A lot of the ideas in terms of the (health insurance) exchange, just being able to pool and improve the purchasing power of individuals in the insurance market, that originated from the Heritage Foundation.""",1
63,"""The average student will be spending $1,700 to $1,800 more during the life of their loan because of this surcharge.""",0
64,"""The New England Journal of Medicine released a survey the week that President Obama signed Obamacare stating that over 30 percent of American physicians would leave the profession if the government took over health care.""",0
65,"According to the nonpartisan Congressional Budget Office, the IRS would need to hire over 16,000 people ... to audit the American people and impose the new taxes and mandates of the health care bill.",0
66,"""The American people will be appalled to learn the health care bill exempts (congressional) leadership and committee staff.""",1
67,"""Our national debt ... is on track to exceed the size of our entire economy ... in just two more years.""",1
68,The health care reform bill is the largest tax increase in U.S. history.,0
69,"""Joe, I keep hearing you every morning talking about the biggest tax increase in history, but you don't mention it's also the biggest tax cut in history.''",0
70,"The health care bill will subsidize families of four that make more than $80,000 a year.",1
71,"""There will be no public funding for abortion in this legislation.""",1
72,"The Iraq war has been ""our longest war.""",0
73,"""Hospitals, doctors, MRIs, surgeries and so forth are more extensively used and far more expensive in this country than they are in many other countries.''",1
78,"""The Massachusetts Supreme Court...defined marriage as simply, quote,the establishment of intimacy ... I guess that would mean if you really had affection for your horse, I guess you could marry your horse.""",0
81,"People ""can't go fishing anymore because of Obama.""",0
82,"""A government panel that didn't include cancer specialists says women shouldn't  receive mammograms until age 50...If government takes over health care,  recommendations like these could become the law for all kinds of diseases.""",0
83,"""The economy began its nose dive when Democrats took control of Congress in January 2007.""",0
84,"Several times, Obama has apologized for what he deems to be American arrogance, dismissiveness, and derision for dictating solutions, for acting unilaterally ... .",0
85,"""House  Appropriations Chair David Obey's partial earmark ban wouldn't apply to 90% of  earmarks.""",1
86,"""Health insurance companies' costs are only 4 percent of all health care spending.""",1
87,We are the only industrialized nation that relies heavily on a for-profit medical insurance industry to provide basic health care.,1
88,"""Obama has proposed a 1.4% pay increase for active duty military in 2011. This is THE LOWEST SINCE 1973 ... A LOWER PAY INCREASE THAN WELFARE RECIPIENTS!!!""",0
89,"In the Senate version of the health reform bill, ""Every enrollee in the Office of Personnel Management enrolled plan, every enrollee has to pay a minimum of $1 per month towards reproductive rights, which includes abortion.""",0
90,"When we started this health care debate a year ago, 85 percent of the American people had health insurance, and 95 percent of the 85 percent were happy with it.",1
91,The Senate version of the health care reform bill allows taxpayer money to pay directly for abortion in federal community health centers funded in the bill.,0
92,George W. Bush was the least popular president in modern history.,0
94,"When Social Security started, age expectancy for the average man was 58. It was 62 -- 62 for women.",1
96,"Reconciliation was used ""for tax cuts for the rich twice under Bush.""",1
97,"""President Obama's bill won't bring down the costs (of health care) for average Americans -- or really for very few Americans, if any.""",0
98,"""The lifespan of the average American is less than that of people in nations that spend far less (on health care). ... To put it bluntly, we spend more and die sooner.""",1
99,"The Democrats' health care bills would end ""the denial of ... coverage to those who have a pre-existing condition,"" while the Republican bill would not.",1
0,"""He (Obama) has done several things well. Most of those things are places where  he changed his view from where he had during the campaign. So, for instance, he's  left our troops in Iraq and they're being more successful there. He boosted our  effort in Afghanistan, which is the right course to take. He did not close  Guantanamo, thank heavens.""",0
1,"In 2001, former Federal Reserve chairman Alan Greenspan ""justified increasing spending and cutting taxes, saying that we didn't really need to pay down the debt.""",0
2,"""The Republicans have repeatedly said that they agree with 80 percent of what's in our bill.""",1
4,"""I'm glad for the wording of it (an ethics report on corporate-sponsored Congressional trips) because clearly the wording exonerates me.""",0
